J_01,J_02,J_03,J_04,J_05_A,J_05_B,J_05_C,J_05_D,J_05_E,J_05_F,J_06_A,J_06_B,J_06_C,J_06_D,J_06_E,J_06_F,J_06_G,J_06_H,J_06_I,J_07,J_08,J_09,J_10,J_11,J_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,,,,,,,,,,,,,,,,,,,,,,2,,46590,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,46636,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,46732,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,46764,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,46805,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,47014,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,47023,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,47202,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,47216,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,47240,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,47258,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,47260,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,47290,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,47309,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,1,47334,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,47364,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,47434,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,47466,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,47469,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,47472,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,47503,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,47564,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,47619,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,47649,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,47752,3,1,3
3,1,4,1,1,,,,,,,,,1,,,,,,,,,,,,47782,2,1,2
3,1,2,2,,,,,1,,,,,,,1,,,,3,1,2,2,1,2,47860,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,47967,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,48199,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,2,,48228,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,48288,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,48296,2,1,2
3,2,,,,,,,,,,,,,,,,,,3,1,2,2,1,2,48363,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,48380,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,48536,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,48670,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,48680,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,48711,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,48729,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,48857,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,48858,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,48899,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,48973,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,49000,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,49020,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,1,2,49055,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,49109,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,49141,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,49146,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,49167,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,1,2,49196,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,49232,2,1,2
2,1,2,2,,,1,,,,,,,,,1,,,,,,,,1,2,49254,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,49312,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,49478,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,49510,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,49734,4,1,4
,,,,,,,,,,,,,,,,,,,3,2,,,2,,49754,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,49803,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,49812,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,49874,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,49907,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,49947,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,50062,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,50067,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,50069,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,50158,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,50179,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,50234,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,50345,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,50372,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,50505,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,50507,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,50614,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,50659,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,50670,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,1,50824,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,50829,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,50837,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,50840,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,50936,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,50986,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,50996,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,51048,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,51064,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,,,51115,2,1,2
1,1,2,1,,,1,,,,,,,1,,,,,,,,,,1,1,51130,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,51498,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,51545,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,51552,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,51619,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,51676,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,51749,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,52153,5,1,5
,,,,,,,,,,,,,,,,,,,3,2,,,,,52187,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,52346,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,52365,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,52404,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,52407,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,52429,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,2,,52701,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,52742,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,2,,52769,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,52825,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,52893,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,2,,52917,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,52959,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,52991,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,53126,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,,,53283,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,53380,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,53497,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,2,,53518,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,2,,53522,5,1,5
,,,,,,,,,,,,,,,,,,,3,2,,,2,,53593,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,2,,53684,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,53707,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,53784,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,1,53807,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,53838,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,1,53873,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,1,1,53885,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,53938,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,53973,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,2,,53974,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,1,54084,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,54205,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,54233,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,54319,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,54438,1,1,1
,,,,,,,,,,,,,,,,,,,2,1,4,2,,,54532,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,54593,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,54705,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,54813,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,1,54868,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,54903,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,55004,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,55029,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,55127,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,55176,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,55199,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,1,55468,1,1,1
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,55470,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,55476,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,55546,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,55560,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,55667,1,1,1
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,55722,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,55802,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,55834,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,55887,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,55892,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,2,,55957,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,55963,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,55964,7,1,7
3,2,,,,,,,,,,,,,,,,,,,,,,2,,55974,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,55991,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,1,56027,3,1,3
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,56041,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,56056,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,56086,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,56092,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,56101,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,56111,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,56123,1,1,1
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,56124,3,1,3
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,56178,8,1,8
3,2,,,,,,,,,,,,,,,,,,3,2,,,,,56220,4,1,4
,,,,,,,,,,,,,,,,,,,3,2,,,2,,56221,3,1,3
2,1,2,2,1,,,,,,,,,1,,,,,,,,,,,,56270,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,56272,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,1,2,56283,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,56297,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,56320,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,56380,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,56382,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,1,56386,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,56401,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,56552,1,1,1
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,56569,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,56596,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,56641,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,56649,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,56674,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,56710,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,56802,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,56824,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,56888,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,56930,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,56990,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,1,57069,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,57247,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,,,57393,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,57467,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,57513,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,57567,1,1,1
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,57581,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,2,,57623,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,57628,11,1,11
,,,,,,,,,,,,,,,,,,,,,,,2,,57683,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,57753,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,,,57782,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,57787,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,57839,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,57860,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,1,2,57870,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,,,57907,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,2,,57918,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,57947,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,57967,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,57989,1,1,1
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,58009,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,58150,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,58162,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,58187,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,58200,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,58274,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,58307,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,58354,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,58380,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,58382,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,58384,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,58398,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,58408,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,58451,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,58468,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,2,,58507,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,58522,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,58555,2,1,2
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,58586,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,58734,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,58809,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,58840,1,1,1
3,2,,,,,,,,,,,,,,,,,,3,2,,,1,1,58853,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,58873,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,58885,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,58919,4,1,4
,,,,,,,,,,,,,,,,,,,3,1,2,1,1,1,58988,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,1,1,59017,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,59061,3,1,3
3,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,59100,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,59233,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,2,,59236,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,2,,59250,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,59316,3,1,3
2,1,2,2,1,,,,,,,,1,,,,,,,,,,,1,1,59429,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,59446,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,,,59499,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,59508,1,1,1
,,,,,,,,,,,,,,,,,,,3,1,2,2,1,2,59570,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,59577,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,2,,59629,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,59652,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,59661,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,59694,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,59741,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,9,,59765,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,59777,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,59804,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,59817,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,9,,59835,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,59941,2,1,2
