L_01,L_02,L_03,L_04,L_05,L_06,L_07,L_08,L_08_VALOR,L_08_TEXTO,L_09_A,L_09_B,L_09_C,L_09_D,L_09_E,L_09_F,L_09_G,L_09_H,L_09_I,L_10,L_10_A,L_10_B,L_11_A,L_11_B,L_11_C,L_11_D,L_11_E,L_11_F,L_11_G,L_11_H,L_11_I,L_11_J,L_11_K,L_11_L,L_11_M,L_11_N,L_11_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,6,1,6
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,2,1,2
3,1,3,1,2,40000,04,1,20000,VEINTE MIL PESOS,,,,,,,1,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,535,1,1,1
3,1,1,2,,,1,1,6000,SEIS MIL PESOS,,,,,1,,,,,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,544,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,1,1,1
3,1,2,2,,,5,1,10000,DIEZ MIL PESOS MCTE,,,1,,,,,,,2,,,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1123,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147,2,1,2
3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236,2,1,2
1,1,4,1,12,84000,12,1,7000,SIETE MIL PESOS,,,1,1,,,1,,,2,,,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1371,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461,1,1,1
3,1,5,1,27,50000,4,1,18000,DIECIOCHO MIL PESOS,,,1,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1535,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568,2,1,2
3,1,3,2,,,30,1,15000,QUINCE MIL PESOS,,,1,,,,,,,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1742,7,1,7
3,1,4,1,2,14000,02,1,7000,SIETE MIL PESOS,,,,,,,1,,,2,,,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1772,3,1,3
2,1,1,2,,,01,2,,,,,,,1,,,,,2,,,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1779,2,1,2
9,1,5,1,30,98,30,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1825,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121,8,1,8
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2276,1,1,1
3,1,2,2,,,1,2,,,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2425,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2433,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2474,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2522,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2616,3,1,3
3,1,3,1,4,98,01,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,2677,3,1,3
3,1,3,1,2,70000,6,1,6000,SEIS MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2734,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2891,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3243,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3395,2,1,2
2,1,2,2,,,01,2,,,,,1,,,,,,,2,,,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3409,1,1,1
1,1,2,1,4,40000,04,1,10000,DIEZ MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3441,2,1,2
3,1,4,1,4,30000,05,2,,,,,,1,,,,,,2,,,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,3587,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3622,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3701,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3709,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3758,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3786,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3970,2,1,2
1,1,1,1,1,98,01,1,12000,DOCE MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,4013,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4115,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4135,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4166,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4174,3,1,3
2,1,1,2,,,01,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4270,1,1,1
3,1,4,1,15,150000,09,1,10000,DIEZ MIL,,,1,1,1,,,,,2,,,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,4278,7,1,7
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4438,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4590,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4665,1,1,1
3,1,4,1,4,30000,10,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,4766,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4787,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4826,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859,1,1,1
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4921,2,1,2
1,1,2,1,2,10000,02,1,5000,cinco mil pesos,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4984,2,1,2
3,1,3,1,8,20000,10,1,5000,CINCO MIL,,,1,,,,,,,2,,,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,4993,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5094,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5310,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5394,1,1,1
3,1,2,2,,,10,1,5000,CINCO MIL,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5442,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5453,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466,6,1,6
3,1,4,1,8,100000,10,1,10000,DIEZ MIL PESOS,,,1,,,,,,,2,,,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,5473,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5483,1,1,1
3,1,2,2,,,01,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5557,3,1,3
1,1,4,1,2,20000,02,1,6000,SEIS MIL PESOS,,,,,,1,,,,2,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,5560,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5562,2,1,2
3,1,3,1,2,50000,10,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5611,1,1,1
3,1,2,2,,,01,1,10000,DIEZ MIL PESOS,,,,,,,1,,,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,5737,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5764,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5875,2,1,2
9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5876,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5931,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5937,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5967,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5974,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6093,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6224,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6287,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6296,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6620,2,1,2
1,1,4,1,15,50000,20,1,4000,CUATRO MIL,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6622,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6623,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6679,1,1,1
3,1,3,1,2,10000,02,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6707,2,1,2
3,1,3,2,,,20,1,5000,cinco mil pesos,,1,,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6726,3,1,3
3,1,4,1,3,30000,04,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6849,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7026,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7089,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7162,1,1,1
3,1,2,2,,,01,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,7185,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7201,1,1,1
3,1,2,1,2,98,1,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7227,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7441,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7452,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7518,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7560,3,1,3
1,1,3,2,,,1,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,7572,1,1,1
3,1,1,1,1,98,1,1,20000,VEINTE MIL,,,,1,,,,,,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7710,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7737,3,1,3
1,1,1,1,1,5000,2,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7750,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7773,1,1,1
3,1,9,1,5,60000,2,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7799,9,1,9
3,1,2,1,2,120000,20,1,6000,SEIS MIL PESOS,,,1,,,,,,,2,,,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,7877,2,1,2
3,1,2,2,,,02,1,15000,QUINCE MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8034,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8125,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8142,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8172,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8185,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8189,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8219,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8487,5,1,5
2,1,1,2,,,1,1,6000,SEIS MIL PESOS,,,1,,,,,,,2,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,8493,3,1,3
3,1,1,2,,,01,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,8889,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8894,1,1,1
3,1,2,1,3,15000,2,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,8917,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8925,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8953,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8962,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9014,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9069,4,1,4
3,1,4,1,4,12000,02,1,12000,DOCE MIL,,,1,1,1,,,,,1,1,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9072,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9102,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9159,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9183,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9345,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9364,2,1,2
3,1,2,2,,,1,1,5000,CINCO MIL PESOS,,,,1,,,1,,,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,9446,3,1,3
3,1,2,1,4,50000,01,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,9461,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9538,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9567,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9623,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9642,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9648,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9667,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9682,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9959,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9968,3,1,3
3,1,1,2,,,01,1,25000,VEINTICINCO MIL PESOS,,,,,,1,,,,1,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9999,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10214,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10235,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10312,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10315,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10344,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10381,2,1,2
3,1,3,1,10,50000,10,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,10383,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10585,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10627,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11115,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11121,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11142,2,1,2
9,1,2,1,4,80000,03,2,,,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11341,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11358,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11385,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11467,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11621,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11706,4,1,4
3,1,2,2,,,05,1,4000,CUATRO MIL,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11709,1,1,1
1,1,2,1,3,20000,1,1,20000,VEINTE MIL,1,1,1,1,1,,1,,,2,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,11785,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11799,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11813,2,1,2
